,Unnamed: 0,FINAL,FRASE,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,OBJ/SUBJ
56,56,0,notebook dell inspiron és computador ar number number number 0x ar number number vista url … ver foto,,,,,,,,,,,,,objetiva
57,57,0,notebook dell processador i5 8gb memoria hd number gigabytes number reais,,,,,,,,,,,,,objetiva
58,58,0,oferta username username intel core i3 • 4gb 1tb ” ar number number number boleto url …,,,,,,,,,,,,,objetiva
59,59,0,notebook dell inspiron number i14 number b10 intel core ar number number number 0x ar number number vista url … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
60,60,0,notebook dell inspiron number i14 number b30 intel core ar number number number 0x ar number number url … ver foto,,,,,,,,,,,,,objetiva
61,61,-1,fácil atrás notebook dell iphone julgar alguém rala dia todo sustentar família mostrar futebol filha,,,,,,,,,,,,,subjetiva
62,62,-1,alo username notebook username problema modelo aqui link permanente imagem incorporada,,,,,,,,,,,,,subjetiva
63,63,0,inspiron number number series fino conta number terceira geração processadores intel ® core ™ jogos url,,,,,,,,,,,,,objetiva
64,64,0,nova atualização dell relança notebook poderoso alienware number url hashtag aqui galera,,,,,,,,,,,,,objetiva
65,65,-2,ajudar notebook carregando dell enviou novo carregador correio porém vai demorar url,,,,,,,,,,,,,subjetiva
66,66,-1,notebook 3mil dar problema conectar wifi ave maria maria dell,,,,,,,,,,,,,subjetiva
67,67,-1,acho nessa semana técnico dell vem buscar notebook trazer novo amém,,,,,,,,,,,,,subjetiva
68,68,0,dell latitude e6500 number notebook …http emoticon special online alas impar és eive charter newoffers informação buy number quer number … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
69,69,0,olhar digital dell traz volta notebook alta performance alienware number url … via username digital,,,,,,,,,,,,,objetiva
70,70,0,análise notebook dell xps number vi,,,,,,,,,,,,,objetiva
71,71,0,semana dell submarino veja ofertas notebook imperdíveis url …,,,,,,,,,,,,,objetiva
72,72,0,bateria notebook hashtag inspiron n4050 number longos anos,,,,,,,,,,,,,objetiva
73,73,0,sós rédeas url hashtag dell latitude e6420 notebook laptop computer hd number intel core i5 … ver foto,,,,,,,,,,,,,objetiva
74,74,-1,notebook ficou zoado desde dell instalou negócio reconhecer rosto ódio,,,,,,,,,,,,,subjetiva
75,75,1,username boa edição escolha notebook dell,,,,,,,,,,,,,subjetiva
76,76,0,vendo notebook dell core i7 number 9ghz ótimo estado funcionamento conservação ar number troco televisão number polegada url,,,,,,,,,,,,,objetiva
77,77,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
78,78,0,intel core i3 ofertas incríveis notebook dell intel core i3 number produtos ótimos … url hashtag,,,,,,,,,,,,,objetiva
79,79,0,username olá uso versão number number number gcd94e7db diapositivo notebook dell windows number obrigada ajuda,,,,,,,,,,,,,objetiva
80,80,0,dia sabe url,,,,,,,,,,,,,objetiva
81,81,-2,number pila concertar tela notebook username dinheiro compro novo querido ¬¬,,,,,,,,,,,,,subjetiva
82,82,-1,aguardando agora assistência number 4h username hashtag prazos cumprir notebook parado,,,,,,,,,,,,,subjetiva
83,83,0,olha coisa linda cheia graça 3 thiago boanerges padre lopes url,,,,,,,,,,,,,objetiva
84,84,0,notebook dell i15 number b20 intel core i7 number terceira geração ar number number number url … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
85,85,0,olhar digital dell traz volta notebook alta performance alienware number url … via username digital,,,,,,,,,,,,,objetiva
86,86,0,dell latitude e6320 number notebook computador – intel url hashtag hashtag url link permanente imagem incorporada,,,,,,,,,,,,,objetiva
87,87,0,terminar queria pedir dell mandar outro notebook velho,,,,,,,,,,,,,objetiva
88,88,0,bom,,,,,,,,,,,,,objetiva
89,89,0,modelo possui ainda number gigabytes memória ram coo dell traz volta notebook alienware number url … username,,,,,,,,,,,,,objetiva
90,90,0,dell inspiron number windows number pentium dualcore number 0ghz 3gb notebook …http emoticon cube produtos abe nurse del newoffers informação buy number quer number … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
91,91,0,retrete olhar digital username it del,,,,,,,,,,,,,objetiva
92,92,1,sim notebook poderia fino leve url,,,,,,,,,,,,,subjetiva
93,93,0,preciso gustavo oliveira url,,,,,,,,,,,,,objetiva
94,94,0,sonhei pai noite passada perguntava melhores marcas notebook após ver então respondi apple dell sony lol,,,,,,,,,,,,,objetiva
95,95,0,dell traz volta notebook alta performance alienware number acordo dell novo alienware number ã© url,,,,,,,,,,,,,objetiva
96,96,0,olhar digital dell traz volta notebook alta performance alienware number url,,,,,,,,,,,,,objetiva
97,97,0,notebook dell i15 number b20 intel core i7 number terceira geração 8gb 1tb ar number number number url … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
98,98,0,veja dell traz volta notebook alta performance alienware number acordo dell novo alienar url,,,,,,,,,,,,,objetiva
99,99,0,ah notebook dell apenas number mês comprado,,,,,,,,,,,,,objetiva
100,100,-1,pessoa compra notebook obrigado comprar mouse porque touchpad vale bosta cce dell,,,,,,,,,,,,,subjetiva
101,101,-1,perguntar ofende quê dell vende notebook sistema operacional ubuntu caro notebook windows number,,,,,,,,,,,,,subjetiva
102,102,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
103,103,-1,opções laptop mag indicaram dell xps number notebook horroroso questões design,,,,,,,,,,,,,subjetiva
104,104,0,marca notebook virgem dell,,,,,,,,,,,,,objetiva
105,105,0,extra – promoção incrível number off notebook dell inspiron i14 number b10 intel core i3 4gb … url … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
106,106,0,galera compro url … alguma marca notebook top barata recomendem pesquisar,,,,,,,,,,,,,objetiva
107,107,0,username sonho preço nesse dell url … observação foto preço cedi,,,,,,,,,,,,,objetiva
108,108,0,cardadores malos notebook acer asus dell hp la en ovo sony samsung toshiba bell mac link permanente imagem incorporada,,,,,,,,,,,,,objetiva
109,109,0,dell number intel pentium dual core number ghz number gigabytes notebook url link permanente imagem incorporada,,,,,,,,,,,,,objetiva
110,110,0,carregador notebook dell apoia,,,,,,,,,,,,,objetiva
111,111,0,liquida notebook dell inspiron number 4r number a30 number i5 6gb 1tb gt740m ar number number url … apesar … url,,,,,,,,,,,,,objetiva
112,112,0,username olá portarei opa vem url emoticon,,,,,,,,,,,,,objetiva
113,113,0,alguém cabo dell notebook doar,,,,,,,,,,,,,objetiva
114,114,0,dell vostro number number notebook apua dual core e1 4gb number 0gb ubuntu at price rs18700 number url,,,,,,,,,,,,,objetiva
115,115,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
116,116,0,dell latitude e6410 notebook computador intel core ai url hashtag hashtag url link permanente imagem incorporada,,,,,,,,,,,,,objetiva
117,117,0,username aqui versão atualizada vem processador number terceira geração i5 url …,,,,,,,,,,,,,objetiva
118,118,0,notebook leve compacto melhores tecnologias dell inspiron number b10 além consumir menos url,,,,,,,,,,,,,objetiva
119,119,0,hashtag username bom dia tímidos bala menta hashtag sobre notebook hashtag hashtag url,,,,,,,,,,,,,objetiva
120,120,1,notebook latitude dell hd substituído concertado sucesso windows number number 4bit cliente satisfeito,,,,,,,,,,,,,subjetiva
121,121,0,notebook teclado numérico samsung dell respectivamente,,,,,,,,,,,,,objetiva
122,122,-1,tenta voltar notebook dell windows number windows number vai ver bosta tela pétrea number horas link permanente imagem incorporada,,,,,,,,,,,,,subjetiva
123,123,0,tipo entro pagina notebook dell vou parte drivers fala compatível win10 manda pagina,,,,,,,,,,,,,objetiva
124,124,-1,nunca compro notebook dell,,,,,,,,,,,,,subjetiva
125,125,0,alguém aí notebook dell melhor marca,,,,,,,,,,,,,objetiva
126,126,1,olho pro notebook agora amaldiçoa comprado asus acer dell,,,,,,,,,,,,,subjetiva
127,127,1,venho meio desse tweet notebook username melhor,,,,,,,,,,,,,subjetiva
128,128,1,notebook positivo péssimo credo melhor notebook dell,,,,,,,,,,,,,subjetiva
129,129,0,super notebook number number dell aproveitem super oportunidade zero lacrado caixa preço combina oportunidade ar number number url …,,,,,,,,,,,,,objetiva
130,130,0,hashtag dell latitude cai number notebook url hashtag hashtag link permanente imagem incorporada,,,,,,,,,,,,,objetiva
131,131,0,mãe sendo generosa valor notebook significa i5 1tb 8gb ram agora dúvida dell hp,,,,,,,,,,,,,objetiva
132,132,1,finalmente comprei novo notebook dell i7 segundafeira vai muahahaahaja number reterei number curtiu responder pretextar curtir number,,,,,,,,,,,,,subjetiva
133,133,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
134,134,0,notebook number in number dell inspiron number number number touch pentium intel core i5 number 0u compraventa » camaras informática url …,,,,,,,,,,,,,objetiva
135,135,0,username username alem disso informações bagunçadas url,,,,,,,,,,,,,objetiva
136,136,0,notebook dell latitude e6410 usado url,,,,,,,,,,,,,objetiva
137,137,0,aproveite mega oferta ainda aproveite concorrer muitos prêmios americanas url number reterei number curtiu responder pretextar curtir number,,,,,,,,,,,,,objetiva
138,138,0,username username justamente tava pensando comprar notebook la acaba morrer quase number anos uso,,,,,,,,,,,,,objetiva
139,139,0,hashtag notebook dell faço remover url,,,,,,,,,,,,,objetiva
140,140,0,dica compra notebook placa vídeo geforce number 0m dell url …,,,,,,,,,,,,,objetiva
141,141,-1,acha username notebooks qualidade superior enganado hashtag hashtag hashtag url …,,,,,,,,,,,,,subjetiva
142,142,0,vendo notebook dell number 0se alto desempenho url …,,,,,,,,,,,,,objetiva
143,143,0,dell inspiron number number super fino vem windows number notebook ultrafino dell number number espessa url,,,,,,,,,,,,,objetiva
144,144,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
145,145,0,notebook dell inspiron i14a20 intel core i5 8gb 1tb windows number led number placa vídeo 2gbpreço sugerido ar number number http emoticon kiwi socialize brasileiro theo reis,,,,,,,,,,,,,objetiva
146,146,-1,tiro dispositivo hao123 br123 jogo sansão surf webssearch consigo consertar notebook dell username,,,,,,,,,,,,,subjetiva
147,147,0,vi notebook dell barato normal sinceramente quero morrer,,,,,,,,,,,,,objetiva
148,148,0,alguém conhece lugar bom consertar notebook dell inspiron parece placamãe pro url,,,,,,,,,,,,,objetiva
149,149,0,notebook bacana url …,,,,,,,,,,,,,objetiva
150,150,0,username use link janela anônima irá atualizar carrinho url,,,,,,,,,,,,,objetiva
151,151,0,username embora trazer volta alimentares embora botar preço competitivo doido trocar notebook queria sair dell,,,,,,,,,,,,,objetiva
152,152,0,amigos vendendo notebook dell top i7 number gigabytes ram hd 1tb híbrido number gigabytes ssd placa video url,,,,,,,,,,,,,objetiva
153,153,-1,nunca pensei tão difícil configurar notebook dell,,,,,,,,,,,,,subjetiva
154,154,0,dell brasil líder vendas notebook país,,,,,,,,,,,,,objetiva
155,155,0,notebook jogos pesados dell notebook jogos pesados dell super desempenho melhor custo url,,,,,,,,,,,,,objetiva
156,156,-1,username username fiz backup clean install notebook novo mãe veio ruim fábrica cheio daqueles programas dell,,,,,,,,,,,,,subjetiva
157,157,0,username pin consegue desconto nesse please url,,,,,,,,,,,,,objetiva
158,158,0,dell lançou notebook híbrido inspiron number série number url …,,,,,,,,,,,,,objetiva
159,159,0,vou levar notebook dell assistência fazendo alarme liga rezem mim,,,,,,,,,,,,,objetiva
160,160,1,acabei ganhar presentão username notebook novinho bem top username number reterei number curtiram responder pretextar curtir number,,,,,,,,,,,,,subjetiva
161,161,-1,todo queria notebook sério nunca pedi nada username,,,,,,,,,,,,,subjetiva
162,162,-1,nunca comprem notebook loja url …,,,,,,,,,,,,,subjetiva
163,163,-1,finalmente comprei notebook amém senhor finalmente comprei samsung porque dell caro number reterei number curtiu responder pretextar curtir number,,,,,,,,,,,,,subjetiva
164,164,0,assistência técnica notebook dell goiânia assistência técnica notebook dell goiânia consulte url number number,,,,,,,,,,,,,objetiva
165,165,0,notebook dell i5 4gb 1tb 2gb dedicado led number prateado computadores acessórios url,,,,,,,,,,,,,objetiva
166,166,0,username conseguir algum desconto nesse dell url …,,,,,,,,,,,,,objetiva
167,167,-1,dell notebook estrutura fraca sempre quebra,,,,,,,,,,,,,subjetiva
168,168,0,rédeas url hashtag dell latitude e6500 notebook computer dual core number 4ghz number 0gb 2gb windows number … ver foto,,,,,,,,,,,,,objetiva
169,169,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
170,170,0,dell vostro number number number gigabytes number ghz number gigabytes notebook bvcs74a16 …http emoticon extremely good marmelos auction buy2day informação buy number quer number … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
171,171,0,ar number number cartão sub notebook dell inspiron i14 number b10 intel core i3 4gb 1tb tela led number url,,,,,,,,,,,,,objetiva
172,172,0,username pois vamos baixar preço desse dell deixa menos number url … hashtag,,,,,,,,,,,,,objetiva
173,173,0,username deixar dell menos number url …,,,,,,,,,,,,,objetiva
174,174,0,dell latitude e6400 number notebook …http emoticon great tech alas grand it emas newoffers informação buy number quer number … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
175,175,1,comprar notebook lembrem comprar dell garantia domicílio,,,,,,,,,,,,,subjetiva
176,176,0,number cartão sub number boleto notebook dell inspiron i14 number a35 intel core i5 4gb 1tb led number url,,,,,,,,,,,,,objetiva
177,177,0,notebook dell refabricado number cotas number number,,,,,,,,,,,,,objetiva
178,178,1,chegou hashtag hashtag hashtag hashtag hashtag hashtag hashtag url,,,,,,,,,,,,,subjetiva
179,179,1,transforma fusca ferrari assim transforma notebook positivo notebook dell,,,,,,,,,,,,,subjetiva
180,180,0,dell latitude e5440 number ” notebook – intel cor url hashtag hashtag url link permanente imagem incorporada,,,,,,,,,,,,,objetiva
181,181,0,dell latitude e5540 ca003le55401em notebook url …,,,,,,,,,,,,,objetiva
182,182,0,gente vendendo hashtag hashtag bom so uso nada rs hashtag interessar url,,,,,,,,,,,,,objetiva
183,183,0,notebook dell username url … vende barato,,,,,,,,,,,,,objetiva
184,184,0,dell number number gigabytes intel pentium dual core number ghz number gigabytes notebook …http emoticon cube produtos abe nurse del newoffers informação buy number quer number … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
185,185,0,notebook deu pane preciso entrar contato username,,,,,,,,,,,,,objetiva
186,186,-1,username vem logo arrumar notebook favorzinho,,,,,,,,,,,,,subjetiva
187,187,0,gostei vídeo username username url notebook dell inspiron number 4r number desmontar fazer limpeza,,,,,,,,,,,,,objetiva
188,188,0,notebook dell inspiron n4050 xá arica maricota url url,,,,,,,,,,,,,objetiva
189,189,0,username bom dia irão liberar drivers notebook dell inspiron number 5r n5010,,,,,,,,,,,,,objetiva
190,190,0,dell latitude e6320 notebook url url,,,,,,,,,,,,,objetiva
191,191,0,confira magazine multiprocessador notebook dell inspiron number i14 number url …,,,,,,,,,,,,,objetiva
192,192,0,notebook battery dell kd495 pc764 tc030 td175 latitude d630 http emoticon posa invades reviews buy2day informação buy number quer number … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
193,193,0,dell latitude e6420 notebook computador – intel core url hashtag hashtag url link permanente imagem incorporada,,,,,,,,,,,,,objetiva
194,194,0,olhar digital dell traz brasil notebook number number tela number polegadas url,,,,,,,,,,,,,objetiva
195,195,0,amigos apartamento invadido nessa manhã levados outros pertences notebook dell url,,,,,,,,,,,,,objetiva
196,196,0,dell apresenta primeiro notebook híbrido number polegadas brasil,,,,,,,,,,,,,objetiva
197,197,0,testar notebook dell,,,,,,,,,,,,,objetiva
198,198,0,quer notebook dell i5 preço especial aqui http emoticon maga ale 1gifzmd,,,,,,,,,,,,,objetiva
199,199,0,inspiron number série number novo notebook dell ubuntu dell colocou outro modelo notebook venda atlântida url,,,,,,,,,,,,,objetiva
200,200,1,notebook deu problema assim liguei suporte dell atendida logo técnico atendeu super lega,,,,,,,,,,,,,subjetiva
201,201,0,gostei vídeo username username url boeing notebook dell a40,,,,,,,,,,,,,objetiva
202,202,1,cegonha trouxe bebê dell entregou notebook novo chorando,,,,,,,,,,,,,subjetiva
203,203,-1,to number hora dell telefone espero resolva problema notebook ninguém merece comprar semana estragar,,,,,,,,,,,,,subjetiva
204,204,0,dell lança brasil primeiro notebook híbrido number number polegadas dell lançou mercado brasileiro nocebo url,,,,,,,,,,,,,objetiva
205,205,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
206,206,0,chega brasil notebook number number dell tela number polegadas windows number url,,,,,,,,,,,,,objetiva
207,207,0,acho engraçado lojas vendendo notebook positivo 3d 2gb ram ultrabooks dell huahaua,,,,,,,,,,,,,objetiva
208,208,0,melhor marca atual levando consideração bumbuns dell to precisando notebook sei i5 4gb etc,,,,,,,,,,,,,objetiva
209,209,0,dell apresenta primeiro notebook híbrido number polegadas brasil,,,,,,,,,,,,,objetiva
210,210,0,username consigo url,,,,,,,,,,,,,objetiva
211,211,0,magazine luiza nunca tão fácil comprar loja completa amigos família url,,,,,,,,,,,,,objetiva
212,212,0,daí chega email dell confirmando pedido nunca pedi bom notebook apenas fonte,,,,,,,,,,,,,objetiva
213,213,1,vim aqui pois ótima notícia teclado notebook arrumado obrigado serviços dell empresa show,,,,,,,,,,,,,subjetiva
214,214,-1,seguinte notebook dell n4030 dando problema comprei fonte nova funciona porém url,,,,,,,,,,,,,subjetiva
215,215,0,lançamento number área hashtag dell number number tela number polegadas url …,,,,,,,,,,,,,objetiva
216,216,-1,to irado,,,,,,,,,,,,,subjetiva
217,217,0,notebook battery dell number cf623 cw674 df192 df249 xd736 xd739 ary http emoticon lightful avisa offer buy2day informação buy number quer number … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
218,218,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
219,219,0,procura bom hashtag infecção encontra modelos hashtag hashtag hashtag hashtag pronta entrega pagamento facilitado 3x,,,,,,,,,,,,,objetiva
220,220,0,notebook dell latitude d420 core2 duo url,,,,,,,,,,,,,objetiva
221,221,0,notebook dell windows number superior wifi fica desativando diariamente veja vídeo url,,,,,,,,,,,,,objetiva
222,222,0,chega brasil notebook number number dell tela number polegadas windows number url,,,,,,,,,,,,,objetiva
223,223,0,dell traz brasil notebook number number tela number polegadas dell anunciou hoje inspiro number sã ©rie number url,,,,,,,,,,,,,objetiva
224,224,0,hashtag dell traz brasil notebook number number tela number polegadas url hashtag hashtag,,,,,,,,,,,,,objetiva
225,225,0,novo notebook inspiron number number formato number number vem windows number dell lançou novo notebook number url,,,,,,,,,,,,,objetiva
226,226,0,novo artigo notebook dell inspiron number number number number windows number url,,,,,,,,,,,,,objetiva
227,227,0,dell traz brasil notebook number number tela number polegadas url hashtag,,,,,,,,,,,,,objetiva
228,228,0,reparando sistema operacional win xp notebook dell cliente amigo final varginha amigo,,,,,,,,,,,,,objetiva
229,229,0,novo notebook inspiron number number formato number number vem windows number via testudo dell lançou novo … url,,,,,,,,,,,,,objetiva
230,230,0,placa mãe original notebook dell latitude d630 url,,,,,,,,,,,,,objetiva
231,231,0,tampa lcd notebook dell latitude d630 url,,,,,,,,,,,,,objetiva
232,232,0,dell apresenta primeiro notebook híbrido number polegadas brasil aparelho série inspira url hashtag hashtag,,,,,,,,,,,,,objetiva
233,233,0,dell apresenta primeiro notebook híbrido number polegadas brasil aparelho série inspiron number number apor url,,,,,,,,,,,,,objetiva
234,234,0,hashtag dell apresenta primeiro notebook híbrido number polegadas brasil url,,,,,,,,,,,,,objetiva
235,235,0,reparo efetuado notebook dell modelo inspiron number lcd danificado micro note book apresenta alguma url,,,,,,,,,,,,,objetiva
236,236,0,dell lança notebook number number inspiron number série number brasil url link permanente imagem incorporada,,,,,,,,,,,,,objetiva
237,237,0,dell inspiron number 3gb ram intel pentium dualcore number 6ghz number notebook …http emoticon cube produtos abe nurse del newoffers informação buy number quer number … link permanente imagem incorporada,,,,,,,,,,,,,objetiva
238,238,0,espero dell faça notebook bem rapidinho americanas demore entregar,,,,,,,,,,,,,objetiva
239,239,0,username opa claro vem url,,,,,,,,,,,,,objetiva
240,240,1,logo precioso notebook dell lindíssimo chega aqui casa muita feliz,,,,,,,,,,,,,subjetiva
241,241,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
242,242,0,username comprei notebook dell fevereiro vem number ano pacote office informando pacote expirou abril porque,,,,,,,,,,,,,objetiva
243,243,0,desmontando notebook dell inspiron n4030 url via username,,,,,,,,,,,,,objetiva
244,244,0,gostei vídeo username username url boeing notebook dell a40,,,,,,,,,,,,,objetiva
245,245,-1,ai notebook dell powerpoint lixo,,,,,,,,,,,,,subjetiva
246,246,-1,username alguém consegue explicar consigo aumentar diminuir brilho notebook obrigado,,,,,,,,,,,,,subjetiva
247,247,0,username menor menor preço pode fazer nesse lindo queria preto encontrei url,,,,,,,,,,,,,objetiva
248,248,-1,username notebook inspiron n4050 seguinte erro hd error code number validalos number self test unsuccessful status number soluções,,,,,,,,,,,,,subjetiva
249,249,0,alia dell notebook servis url …,,,,,,,,,,,,,objetiva
250,250,0,notebook reclamando pedindo outro hashtag url,,,,,,,,,,,,,objetiva
251,251,0,username acontece uso notebook dell vem câmera embutida problema win8 number number,,,,,,,,,,,,,objetiva
252,252,1,username hashtag linda notebook dell,,,,,,,,,,,,,subjetiva
253,253,0,compro carregador bateria notebook hp dell usado,,,,,,,,,,,,,objetiva
254,254,0,tanga deal dell latitude e6410 notebook computer url,,,,,,,,,,,,,objetiva
255,255,0,magazine luiza loja jeito magazinejscflive url … url,,,,,,,,,,,,,objetiva
256,256,0,especialistas notebook dell hp sony vaio acer lenovo referencia nacional especialista url,,,,,,,,,,,,,objetiva
