,FRASE,OBJ/SUBJ
28," quando sua sobrinha morre espontaneamente de susto , uma semana depois do dia em que assistiu a um vídeo perturbador , uma jornalista cínica ( naomi watts ) viaja para o noroeste do pacífico em busca das origens da fita e suas ligações com uma série de suicídios em um rancho de cavalos .  ",objetiva
29," embora algumas dessas leis tenham sido derrubadas por legislaturas ou tribunais , no estado do texas os combatentes da liberdade ainda estão trabalhando para eliminar essas leis absurdas e desnecessárias .  ",objetiva
30," sem o conhecimento dos competidores , o anfitrião do jogo fez um acordo com os soldados contratados para guardar o dinheiro , e não tem realmente os melhores interesses do jogador , ou mesmo a segurança básica , no coração .  ",objetiva
31," o primeiro curta totalmente em roteiro a ser produzido pela imageworks , empresa premiada de efeitos visuais e animação de personagens da sony pictures , ` ` the chubbchubbs ` ` apresenta os habitantes alienígenas do planeta gloria , incluindo merecer , seu herói sério , mas desajeitado , a diva cantante , os azais e os chubbchubbs .  ",objetiva
32," mas quando seus sentimentos por cricri decididamente indisponível começam a crescer , e ele realmente se preocupa com brian , o durão giglio começa a se transformar em um ser humano real . que  ",objetiva
33," kong é enviado de volta para buscar algumas coisas para irie e , sem saber , experimenta o smoking de irie e descobre que ele dá poderes extraordinários a qualquer um que veste o terno .  ",objetiva
34," fr és cio e cru como uma veia estourada , nara pega um subgênero morto-vivo e policial e dá uma nova vida a ele .  ",subjetiva
35,seus objetivos são modestos - fazer as crianças rirem enquanto cuba gooding cai muito e mostrar como os cães de trenó são emocionantes - e os alcança . ,subjetiva
36," na superfície , o filme é jogado direto , com tensão sustentada e sustos efetivos .  ",subjetiva
37,. . . vai além dos retratos usuais de bons filhos e sementes ruins para revelar um conjunto mais ambivalente de personagens e motivações . ,subjetiva
38," se o conde de monte cristo não transformar avezes em estrela de cinema , então o jogo está ainda mais fraudado do que há dois séculos .  ",subjetiva
39,uma história de amor ideal para aqueles intolerantes ao gênero sacarina mais comum . ,subjetiva
40," fora o desejo do king de fazer algum tipo de filme , não está muito claro por que este projeto foi realizado  ",subjetiva
41," ao mesmo tempo , outras mudanças no lutador estão sendo motivadas por sua crescente popularidade no ocidente , onde seus adeptos estão fazendo lobby pela inclusão do lutador nos jogos olímpicos , enquanto outros promotores estão organizando torneios amadores de lutador em locais como las vegas . cassinos - torneios que não surpreendentemente têm pouca semelhança com o ancestral japonês do esporte .  ",objetiva
42," medre it hoje , de number anos , te en está manter um voto religioso de silêncio durante um jantar de ação de graças com sua família agnóstica  ",objetiva
43," cocu - drama baseado na vida de ted bunda , um serial killer que matou pelo menos number mulheres jovens durante a década de number ( embora algumas fontes digam que number a number foram assassinados ) .  ",objetiva
44," gostaria que os windtalkers tivessem mais fé no potencial dramático desta história verídica . isso teria sido melhor do que a ficção que inventou , e ainda poderia haver espaço para as cenas de guerra .  ",subjetiva
45," em um mundo onde lealdades são facilmente abandonadas e lealdades compradas , seis perfeitos estranhos se unem para realizar o crime perfeito .  ",objetiva
46," acelerado e maravilhosamente editado , o filme é extremamente completo .  ",subjetiva
47," embora o ritmo cuidadoso e a história aparentemente opaca possam não satisfazer o apetite de todos os espectadores , a cena final do filme é surpreendentemente emocionante .  ",subjetiva
48," adocem en etário unilateral oferece explicações simplistas para uma situação muito complexa . estilisticamente , o filme é um desastre .  ",subjetiva
49,food for love se esforça e em grande parte consegue dar peso igual à turbulência emocional de seus personagens mais velhos e mais jovens . ,subjetiva
50," não deveria ter sido permitido usar a palavra ` ` novo ` ` em seu título , porque não há um personagem original , situação ou piada em todo o filme .  ",subjetiva
51," ambos se aproximam de filma , um jovem solitário com uma doença não especificada .  ",objetiva
52," re it or de number anos é bonito e inteligente , mas se sente prejudicado por sua origem da classe trabalhadora e por sua família .  ",objetiva
53," o filme detalha as experiências do autor ' peter pan ' já . me . barre , que o levaram a escrever o clássico infantil .  ",objetiva
54," o filme às vezes ameaça se tornar didático , mas é muito fundamentado na realidade de seus personagens para ir além do limite . um toque de humor ou uma reviravolta inesperada na trama sempre o puxa para trás .  ",subjetiva
55," como resultado desta circunstância infeliz , ella não pode recusar qualquer comando , e muitas vezes é deixada à mercê de personalidades sem escrúpulos .  ",objetiva
56,rice é um cineasta muito pedestre para trazer qualquer vantagem ou personalidade para o lugar em ascensão que o diferenciaria de outras histórias do sul profundo . ,subjetiva
57," o filme funcionaria muito melhor como uma videoinstalação em um museu , onde os espectadores estariam livres para sair . imediatamente .  ",subjetiva
58," se passa em houston , oeste de londres e hamburgo , o filme segue dois jovens de number anos com seus corações postos em um futuro no futebol profissional .  ",objetiva
59,uma bagunça quando se trata de personagens e escrita . . . mas funciona por baixo da pele como poucos filmes têm na memória recente . ,subjetiva
60," [ ver de é ] o equivalente cômico de saddam hussein , e estou quase pronto para ir até a cu . não . e pedir permissão para um ataque preventivo .  ",subjetiva
61," de repente , um menino começa a adoecer e começa a sofrer das mesmas síndromes que reinaram desde o primeiro filme sofrido .  ",objetiva
62," o filme , uma continuação de ` ` jack the dog ` ` , é descrito como uma comédia de humor negro sobre um mulherengo reformado ( não és tor carbone ) que luta para manter sua família unida .  ",objetiva
63," ele se tornará um avô , cercado pelo amor e apoio de uma família ou ele se refugiará em seu mundo de memórias e oportunidades perdidas ?  ",objetiva
64," paco , uma rapper e performer , indiferente a tudo , exceto sua carreira , sonha em chegar ao top ten chart .  ",objetiva
65,a luz ártica do canadá brilha nesta novela de tundra congelada que dá vida extraordinária à existência privada do povo incite . ,subjetiva
66,o roteirista-diretor pela primeira vez perry mostra um dom notável para contar histórias com este pequeno filme comovente e eficaz . ,subjetiva
67,o astro do rock dewey finn ( black ) é demitido de sua banda e enfrenta uma montanha de dívidas e depressão . ,objetiva
68," apo és ar das aberturas simpáticas , rachel está convencida de que as coisas não são o que parecem e suspeita que seu bebê foi sequestrado .  ",objetiva
69," hoffman passa muito tempo na tela sozinho e sem muito diálogo , usando apenas sua considerável habilidade física e presença na tela para fazer o papel .  ",subjetiva
70," levi , depois de algumas investigações , reduz os suspeitos a uma mulher que não é sua esposa , outro conhecido poeta vitoriano .  ",objetiva
71," la cinta comenda pretendendo ser um drama , rm-apidamente se transforma em uma comédia e termina por ser uma paródia absolutamente perecível  ",subjetiva
72,pô de não ser o ` ` último tango em paris ` ` mas sim . . . ,subjetiva
73," pô de ​​não ser história me - ^ ver , mas , novamente , e se for ? me - ^ ver , mas é uma das noites mais puramente agradáveis ​​e satisfatórias no cinema que tive em um tempo .  ",subjetiva
74,diretor boland mostra aqui que ele pode lidar com material inteligente com um toque . ,subjetiva
75," de cobre que a vida de sua filha , desconhecida por ele de um caso com uma brasileira number anos antes , está em perigo e deve retornar ao rio ; tendo apenas cinco dias para finalizar o negócio e encontrar sua filha .  ",objetiva
76," nem tudo no filme funciona , incluindo seu final um tanto conveniente .  ",subjetiva
77,apo en as os mais viciados em violência cinematográfica em todas as suas formas encontrarão algo aqui para apreciar . ,subjetiva
78," quando a esposa do detetive ben sim é morta , ele tem que aprender a ser pai e mãe para sua filhinha enquanto procura por um vigilante que tenha seu próprio senso de justiça .  ",objetiva
79," marco e melanie , um jovem casal , vivem uma vida de paixão , com situações caóticas , e todas as pequenas frustrações do dia a dia .  ",objetiva
80,o que realmente surpreende nas viseiras é sua qualidade discreta e ternura genuína . ,subjetiva
81,o marido conhece um homem que sabe o que fazer com sua sexualidade . ,objetiva
82,membro do ira bobby sands é preso na irlanda do norte . ,objetiva
83," numa época de arte extremamente ambiciosa , a modéstia descontraída e o charme acessível de evence são um alívio bem-vindo .  ",subjetiva
84,alguém acha que a história central de brendan beba é que ele era um namorado bissexual antes de começar a beber ? ,subjetiva
85," é zuckerman que se depara com o segredo da seda e se propõe a reconstruir a biografia desconhecida desse homem eminente e íntegro , estimado como educador por quase toda a sua vida , e a entender como essa vida engenhosamente tramada se desfez .  ",objetiva
86," a animação é competente , e algumas das piadas são bem engraçadas , mas james . nunca sacode a qualidade opressiva e moralmente superior boa para você que quase automaticamente acompanha o entretenimento didático .  ",subjetiva
87," de animado e prestes a desistir de escrever , yin fedi conhece uma jovem que não consegue ver cores , que o encoraja a perseverar .  ",objetiva
88," en quanto na cadeia costumam brigar com o segurança , um lunático obeso .  ",objetiva
89," tommy , que agora é um conhecido ativista , tem sua credibilidade destruída pelo livro que causa a separação deles .  ",objetiva
90,uma composição de gestos despojados de romance e apresentados em suas formas mais básicas . ,subjetiva
91,rowan interpreta o personagem principal de mesmo nome em um thriller de espionagem paródia . ,objetiva
92,tudo se resume a saber se você pode tolerar leon bruni . não posso . ,subjetiva
93," agora , nos dias atuais , o ator infantil julian ( luke beber ) , o espírito livre hannah ( colombo jacobina ) e a ex-professora grace ( já en york allen ) , juntamente com uma equipe de documentários , vão em busca para este homem , que pode ser a personificação de todo o mal .  ",objetiva
94,os cineastas expõem esse culto deliciosamente perturbado capturando a vida cotidiana de seus membros . ,objetiva
95," é como um automóvel antigo que às vezes funciona suavemente , e às vezes dá guinadas e engasga . mas nunca pare .  ",subjetiva
96," é uma história sobre amor , paixão , vício , brilho e a ignorância da ganância .  ",objetiva
97,ensine state é um belo exemplo de um filme cuidadosamente escrito . mas você não deve estar muito ciente de que um filme é bem escrito . ,subjetiva
98," comovido em seu coração com a urgência de alcançar a cristo , ele tem uma ideia para tentar alcançar as massas em sua cidade para jesus .  ",objetiva
99," te és tanto suas teorias com uma máquina do tempo de sua própria invenção , hartdegen é lançado number anos no futuro , onde ele descobre que a humanidade se dividiu em caçadores - e caçados .  ",objetiva
100,um filme envolvente e comovente que respeita seu público e seu material original . ,subjetiva
101," és estamos todos por aí procurando pelo amor verdadeiro - uma coisa muito elusiva , e o acaso não é exceção .  ",objetiva
102," el és se dão menos bem com tom donner , um jovem fazendeiro e noivo de carrie & number ; .  ",objetiva
103," adiando seu desejo de jogar basquete no time da escola , steve encontra um emprego depois da escola para se sustentar e busca um relacionamento com a rica mas infeliz sally ( ariel paul ) .  ",objetiva
104," anta és de seus olhos no monitor de televisão da loja , ele vê sua escolha aparecer como os números vencedores de $ number milhões !  ",objetiva
105," como shrek , a imaginação visual do espírito lembra por que a animação é um meio tão perfeito para crianças , por causa da maneira como ela permite que a mente entre e aceite outro mundo .  ",subjetiva
106,tem um david lynch jones ? então você faria bem em verificar este porque é uma ação de picos duplos . . . ,subjetiva
107," és está foi também uma época , em meio a um ambiente caótico e decadente , quando um homem tentou lidar com a perda de sua ex-amante .  ",objetiva
108," fora de uma tempestade e quando a energia acaba , a escuridão envolve a casa .  ",objetiva
109,seu pai e irmão estão mortos por tantos anos . ,objetiva
110," no mesmo dia , homens armados tomam conta da escola - usando-a para esconder number milhões em cocaína que eles sequestraram .  ",objetiva
111," é sempre decepcionante quando um documentário deixa de corresponder - ou oferece qualquer nova visão - do tema escolhido . infelizmente , é exatamente isso que os fundamentos da família de arthur don fazem .  ",subjetiva
112,não é à toa que eles estão falando sobre “ falar com ela ” . ` ` é surpreendente . ,subjetiva
113," jason perde uma importante tarefa de história intitulada ' big fat liar ' na limusine do produtor de cinema bart wolf ' sim ( paul protagonizando ) , que o lobo então transforma em um filme .  ",objetiva
114," seu filho morre , seu casamento com max é arruinado , e seu amante é de fato perigoso em seu ciúme e raiva louca , mas não importa quais sejam as consequências - seu espírito subversivo vive dentro dela , a forma , a obceca .  ",objetiva
115,uma jornada maravilhosa do idealismo infantil à auto-absorção adolescente . ,subjetiva
116,o futuro está a caminho de atlantic city em um ônibus . ,objetiva
117," o impostor tem um punhado de momentos emocionantes e algumas boas atuações , mas o filme não voa . para começar , a história é muito pequena .  ",subjetiva
118,os resultados exagerados fazem o bosch cinto chatice de mel brooks parecer sofisticado . ,subjetiva
119,a qualidade dos visuais de schwentke . . . fornece ampla compensação . ,subjetiva
120,o rei escorpião é mais divertido que cona o bárbaro . ,subjetiva
121,a melhor parte sobre ` ` gangue és ` ` foi daniel day-lewis . ,subjetiva
122,uma espirituosa adaptação para a tela desta clássica comédia de costumes com sua generosa oferta de frases curtas . ,subjetiva
123,é um estudo das forças obscuras à espreita na vida dos adolescentes de hoje . ,objetiva
124,alguns atores têm tanto carisma que você ficaria feliz em ouvi-los lendo a lista telefônica . hugh grant e sandra bullock são dois atores tão simpáticos . ,subjetiva
125," para en se em ' gl en garra gale ross ' sem o diálogo do mame , e é isso que você terá aqui .  ",subjetiva
126,me és amor aceitando isso no estado de espírito certo só pode fornecer tanta clemência . ,subjetiva
127," dá a você o pulso firme da vida em uma bela cidade vista pelos olhos de um personagem que , apesar da perda trágica e crescente decrepitude , sabe em seus ossos que ele é um dos homens mais sortudos do mundo .  ",subjetiva
128," ninguém sabe disso melhor do que vince , de number anos , de volta à sua cidade natal de van writ , ohio , após uma ausência de number anos .  ",objetiva
129,a crescente evidência sobre o papel de um homem em uma longa história de abusos de direitos humanos leva a um exame crítico da diplomacia americana através das lentes dos padrões internacionais de justiça . ,objetiva
130," o que o salva . e o torna um dos melhores filmes baseados em videogames , é que o filme reconhece de antemão que o enredo não faz sentido , de modo que a falta de linearidade é o ponto de partida emocional e moral para a protagonista alice .  ",subjetiva
131," a câmera sobrevoa o globo em deslumbrantes tomadas panorâmicas que aproveitam ao máximo o formato de tela grande , antes de mergulhar em uma série de locais exóticos , pegando o mundo inteiro em um alegre festival comunitário de ritmo .  ",subjetiva
132," és te thriller psicológico magistralmente calibrado prospera em suas performances tensas e atmosfera assustadora , mesmo que o roteiro seja um pouco curto .  ",subjetiva
133," ao contrário da maioria das histórias de reencontros que culminam com um clichê & number ; final feliz , filha de danando é um drama da vida real .  ",objetiva
134," a equipe militar deve desligar o computador e sair , lutando contra zumbi , mutantes e o próprio computador , antes que o vírus escape e inflecte o resto do mundo .  ",objetiva
135,a direção de mefistófeles é adequada . . . mas o que dá à natureza humana sua sensação única é o roteiro de kaufman . ,subjetiva
136," na verdade , sean cometeu o erro de emprestar a eddie $ number para cobrir seus gastos extravagantes .  ",objetiva
137," ela está disposta a fazê-lo passar por qualquer coisa para ` ` curá-lo de te . sim . , com pílulas , aconselhamento , terapia de carpo , etc . mamãe também está preocupada com o futuro de finn - quem vai cuidar dele ?  ",objetiva
138,uma soberba fatia gótica de terror do sul que é facilmente o filme mais doente a chegar aos cinemas em muito tempo . e quero dizer que da maneira mais agradável possível . ,subjetiva
139," quando suas protagonistas são um casal de dominatrixes comedoras de tela como goldie hawn e susan sarandon no seu melhor atrevido , até bodum cai facilmente .  ",subjetiva
140," en quanto enders está inicialmente frustrado com sua tarefa , seu respeito cresce à medida que os codetalkers provam seu valor na brutal batalha para tomar saipan .  ",objetiva
141," catch ( julianne moore ) é a dona de casa perfeita dos anos number , vivendo a vida perfeita dos anos number : filhos saudáveis , marido bem-sucedido , destaque social .  ",objetiva
142,. . . outro exemplo de como sandler está perdendo o jeito . ,subjetiva
143," te en hot certeza que se você é um fã de hartley , você pode se divertir . . . eu , eu não me importei com isso .  ",subjetiva
144," sua missão : coletar informações sobre uma organização que pode estar planejando a destruição do mundo , liderada pelo niilista orgia .  ",objetiva
145," sugere trocadilhos sobre ingredientes e sopa e alguém que está comendo macarrão , mas vamos apenas dizer que os ingredientes não combinam com uma refeição .  ",subjetiva
146," ` ` leões de segunda mão ` ` segue as aventuras cômicas de um menino introvertido ( ohm en te ) deixado na porta de um par de tios-avós relutantes e excêntricos ( cabine e duvall ) , cujas lembranças exóticas agitam o espírito do menino e reacender a vida dos homens .  ",objetiva
147," charlie é um homem que acorda e descobre que ninguém pode vê-lo , por acaso encontra carol em uma estrada solitária .  ",objetiva
148,a mulher rica procura a ajuda de seus advogados para encontrar seu neto perdido ary e acaba encontrando-o morando em uma área carente com casas . ,objetiva
149," triste e sozinha , caroline perambula pela cidade exótica em busca de respostas , finalidade e paz de espírito .  ",objetiva
150," durante uma semana , eduardo coutinho e sua equipe conversaram com number moradores de um enorme prédio em copacabana .  ",objetiva
151," ao longo do caminho , eles descobrem uma conspiração sinistra que chega ao departamento de polícia e até mesmo ao mais alto nível do governo .  ",objetiva
152,vários graus abaixo dos concursos grosseiros que se espera da tarifa adolescente atual . ,subjetiva
153," os fios da trama envolvem um trio de travestis perdidos , duas garotas que nunca saem do banheiro , um par de bebedores inocentes menores de idade e um cara que está determinado a perfurar sua genitália , mas a história central segue tudo enquanto ela se propõe a humilhar seu ex-amante , mike , que dormiu com outra mulher .  ",objetiva
154," bonomia ( sean bean ) está morto , frodo vetiver ( elijah wood ) e saem-se gague ( sean balir ) foram para morador sozinhos para destruir o anel , perry ( domínio morgan ) e pippin ( romeu rose ) foram capturados por os uruk-hai , e aragorn ( viggo mortensen ) , legolas ( orlando bloom ) e pomo ( john rhys-davies ) fizeram amigos dos johan , uma raça de humanos que está no caminho da próxima guerra , liderada por seus rei envelhecido , rhodes ( bernard hill ) .  ",objetiva
155," sem o conhecimento dos anciãos , a filha da viúva veio para liquidar a propriedade , despejá-los e ter uma venda de propriedade tudo em um dia .  ",objetiva
156,a história e a amizade prosseguem de tal forma que você está assistindo a uma novela em vez de uma crônica dos altos e baixos que acompanham as amizades ao longo da vida . ,subjetiva
157," o melhor amigo de steve , sean , por outro lado , não teve tanta sorte .  ",objetiva
158," otoni és é um filme com humor leve e atrevido que , de uma forma comovente , nos leva ao mundo agradavelmente perturbado de cinco pacientes psiquiátricos um tanto romantizados .  ",objetiva
159," eu estava com medo ? apenas com a perspectiva do próximo projeto de baseado . vamos ver , uma casa assombrada , um navio assombrado , o que vem a seguir . dirigível fantasma ?  ",subjetiva
160," agora & number ; para sempre é uma dramática história de amor contemporânea que combina elementos de espiritualidade , coração e integridade .  ",objetiva
161," é o tipo de filme que você não pode recomendar porque é tudo frescura e não muito de tom , mas você não consegue não gostar dele .  ",subjetiva
162," um bom , empolgante , filme familiar com classificação kg , destinado principalmente a crianças pequenas , mas com muito valor de entretenimento para evitar que os adultos se contorçam em seus assentos .  ",subjetiva
163," apo és ar disso , é através das visões da graça envolvendo ele que ela descobre os passatempos demoníacos de seus pais , que incluem rapto , assassinato e possivelmente coisas piores .  ",objetiva
164,ela deve olhar além de sua história com os homens em uma infância que foi interrompida por causa de um evento chocante que ela enterrou profundamente dentro de si mesma . ,objetiva
165,és está versão faz jus tanto a stevenson quanto ao gênero sci-fi . ,subjetiva
166,a mãe acaba por ser sua cúmplice louca no assassinato em massa e sua busca pela imortalidade . ,objetiva
167,o menino se apaixona por uma garota rica ( de encha ) . ,objetiva
168,eu amo as cenas de abertura de uma cidade invernal de nova york em number . poesia cinematográfica mostra o charme do velho mundo da cidade antes que as máquinas mudem quase tudo . ,subjetiva
169," claro , existem falhas , mas os momentos que fazem as coisas corretamente ver a tela estourar com confiança , ritmo , calor e um toque especial .  ",subjetiva
170,a pura estupidez do enredo ( além de ser uma boa ideia ) e o inescapável ar de desprezo do filme te derrubam . ,subjetiva
171,nunca é um bom sinal quando a estrela de um filme passa o filme inteiro em coma . é pior sinal quando você começa a invejar a condição dela . ,subjetiva
172," será um ato de violência que empurra a menina para a feminilidade e a conduz a uma nova vida onde , não sem dor , tudo é possível .  ",objetiva
173," o voyeurismo é a ordem geral , pois aqueles que assistem por prazer e aqueles pagos para assistir são mais do que esperados quando o delicado equilíbrio de poder da operação é distorcido pela rebelião .  ",objetiva
174," é sexo e a cidade encontra o banquete de casamento do jovem san franciscano daniel chang , morando em casa com sua mãe tradicional e sem noção .  ",objetiva
175,a partir desse momento nada é como era antes . . . ,objetiva
176,a pedra parece ter o dom de embrulhar o teatro em um manto frio de desespero urbano . ,subjetiva
177," uma crônica , que mostra os bastidores de uma tempestuosa colaboração entre a companhia de dança iconoclasta pilonos e o lendário autor-ilustrador maurice senda .  ",objetiva
178,a história picante precisa de carne mais dramática em seus ossos . ,subjetiva
179,uma variação sutil de eu cuspo em seu túmulo em que nossa suposta heroína vinga patologicamente um ódio pelos homens . ,subjetiva
180," um filme densamente construído , altamente referencial , e um audacioso retorno à forma que pode se encaixar confortavelmente entre os melhores trabalhos de jean-luc godard .  ",subjetiva
181," para proteger seu relacionamento com john , ela ` ` abandona ` ` seu filho , tendo-o preso e trancado em uma instalação correcional ` ` mental ` ` , antes de coagir seu irmão mais velho burt , que mora em hollywood , para levá-lo .  ",objetiva
182," é algo do melhor filme de scorsese , com toda a violência de revirar o estômago , folclore colorido de gangues de nova york e outras marcas registradas de seu cinema pessoal pintadas em sua maior tela histórica de todos os tempos .  ",subjetiva
183,o equivalente a ir ao cinema de ir a um jantar e ser forçado a assistir o vídeo caseiro do nascimento do bebê do anfitrião e da anfitriã . ,subjetiva
184," é um filme repugnante , realmente é e não faz absolutamente nenhum sentido .  ",subjetiva
185," o filme é bem elaborado e bem executado . se você estiver prestando atenção , as ` ` gran de sim reviravoltas ` ` são bem fáceis de adivinhar - mas isso não torna o filme menos divertido .  ",subjetiva
186,uma imagem de bem-estar no melhor sentido do termo . ,subjetiva
187,é conciso sem ser sacarina ; é engraçado sem nunca se levar a sério ; é cheio de personagens lindos e ótimas atuações . ,subjetiva
188,o problema é que o filme não faz ideia se é sério ou não . ,subjetiva
189," além dele , os outros moradores são ` ` bagagens , ` ` criaturas semelhantes a humanos que são infectadas pelo sangue do homem alto , os anões , e , claro , as esferas de prata , todos tentando escapar do barreira que os contém e para o mundo real .  ",objetiva
190,katie é uma jovem que adora escalar . ,objetiva
191,és te filme parece ter sido escrito usando mad-libs . não pode haver outra explicação . graficamente inepto e ridículo . ,subjetiva
192," marido de anete busca conforto fora de casa , sua filha começa a se rebelar , e como a relação entre anete e seu pai não tem sido muito boa há anos , as coisas estão prestes a explodir .  ",objetiva
193," milha zero é a história de um pai com uma notável capacidade de amar , mas que deixa o medo e o desespero dominarem suas ações .  ",objetiva
194," agora , puas deve lutar contra aqueles que ele tem que superar para conseguir o que ele precisa para ajudar sua mãe e sobreviver na selva .  ",objetiva
195,mas para um celebrante esta semana santa é diferente . ,objetiva
196,um filme para todos que se preocupam com o mundo que seus filhos e netos herdarão . ,subjetiva
197," um olhar conhecedor da amizade feminina , cravejado de humor urbano cru .  ",subjetiva
198,o filme é sobriamente engraçado em sua observação de quão mais cansativa e demorada é a ilusão do trabalho do que o trabalho real . ,subjetiva
199,qualquer filme com crianças ameaçadas por uma bomba terrorista não pode mais passar como mero entretenimento . ,subjetiva
200," um filme que não mira muito alto , mas não precisa .  ",subjetiva
201,és está é uma história sincera . . . só não é muito envolvente . ,subjetiva
202," além de amsterdã , o filme também viaja para marrocos , para ver larry e seu amor number anos antes , e para os estados unidos , onde mora a família de um & number ; chá .  ",objetiva
203," és te é um filme inteligente que conhece sua música clássica , conhece seu freud e conhece seu sad .  ",subjetiva
204,ele entra em colapso quando o senhor . taylor tenta mudar o tom para a corrida de um thriller . ,subjetiva
205," mas então veio toni , um fotógrafo intrigante que parecia ver dentro de sua alma .  ",objetiva
206," os dois homens negros ( anthony e michael ) são bem sucedidos no mundo de alta tecnologia do vale do silício , e se conhecem desde a infância .  ",objetiva
207," por vingança , ingrid mata com o veneno mortal de sua flor favorita : o leandro branco .  ",objetiva
208," ainda maior e mais ambicioso do que a primeira parte , spy kids number parece ter sido feito por um garoto de number anos altamente talentoso em vez de um homem adulto .  ",subjetiva
209," se você está disposto a se divertir com isso , você não vai se sentir enganado pela alta infidelidade dos infiéis .  ",subjetiva
210," embora finja expor a vida de traficantes masculinos , é explorador sem ser perspicaz .  ",subjetiva
211,felice se encontra em perigo por causa do homem que ela veio salvar . ,objetiva
212," tem o ar de uma cotovia surpreendentemente juvenil , uma brincadeira de influência pop cujos encantos são imediatamente aparentes e se desgastam com a repetição .  ",subjetiva
213,seu coração está no lugar certo e a falta de cinismo vem como uma agradável surpresa . ,subjetiva
214," nic está obcecado em transar , e assiste mike e nadine através da barbeiragem com josh .  ",objetiva
215,uma visão intrigante e ricamente detalhada dos primórdios do poder e do glamour de hollywood . ,subjetiva
216," todo membro da hierarquia vê o cupê como o novo homem baixo no totem e , como resultado , a ferramenta perfeita para se elevar ao topo dessa hierarquia disfuncional .  ",objetiva
217," a busca visionária começa na mesa de operação , onde um cirurgião enxerta um protótipo de implante ocular em sua cavidade ocular .  ",objetiva
218,upper west sidney exercício de narcisismo e autocongratulação disfarçado de tributo . ,subjetiva
219,não é um pouco cedo em sua carreira para o diretor barry sonnenfeld fazer uma homenagem a si mesmo ? e é péssimo nisso . ,subjetiva
220," uma vez em gana , otite é chamado perante o conselho do chefe para explicar o que aconteceu .  ",objetiva
221," uma imagem terrivelmente hábil sobre a linha grossa que separa o glamour do cinema do mundo real , e a linha tênue entre o bom senso e a paranoia .  ",subjetiva
222,assassinato por números é como um par de filmes de televisão medíocres da semana desajeitadamente grudados . ,subjetiva
